description,type,name,region_s,year,price
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,North West,1990,25
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,North,1990,19.75
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Wales,1990,22.5
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Scotland,1990,27
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Northern Ireland,1990,9.5500002
LADIES HAND/SHLDER BAG,Presents,Handbag,London,1990,17.49
LADIES HAND/SHLDER BAG,Presents,Handbag,South East,1990,12.99
LADIES HAND/SHLDER BAG,Presents,Handbag,South West,1990,13.99
LADIES HAND/SHLDER BAG,Presents,Handbag,East Anglia,1990,14.99
LADIES HAND/SHLDER BAG,Presents,Handbag,East Midlands,1990,18.470001
LADIES HAND/SHLDER BAG,Presents,Handbag,West Midlands,1990,16.99
LADIES HAND/SHLDER BAG,Presents,Handbag,Yorkshire & Humber,1990,12.49
LADIES HAND/SHLDER BAG,Presents,Handbag,North West,1990,18.99
LADIES HAND/SHLDER BAG,Presents,Handbag,North,1990,11.5
LADIES HAND/SHLDER BAG,Presents,Handbag,Wales,1990,17.99
LADIES HAND/SHLDER BAG,Presents,Handbag,Scotland,1990,11.99
LADIES HAND/SHLDER BAG,Presents,Handbag,Northern Ireland,1990,12.99
